date,focal,act,partner,focgroup,prtgroup,focsex,prtsex,dyadtype,group.combo,behav,direction,period,winner,loser,Intensity,id1,id2,Dyad,Obs.effort,outcome,rval,RankDiff,winner.group,loser.group,win,s1,d1,s2,d2,relative.size
10/24/14,ty,dp1,ux,PHG,PHG,F,F,FF,same,dp,1,Stable,ty,ux,0,ty,ux,ty_ux,4380,split apart,0,0.399019603,PHG,PHG,1,PHG,PHG,PHG,ENK,remainer
10/24/14,ty,dt2,ux,PHG,PHG,F,F,FF,same,dt,2,Stable,ux,ty,0,ty,ux,ty_ux,4380,split apart,0,0.399019603,PHG,PHG,0,PHG,PHG,PHG,ENK,remainer
10/24/14,ux,dn2,fx,PHG,PHG,F,F,FF,same,dn,2,Stable,fx,ux,0,ux,fx,fx_ux,4500,split apart,0,0.823966846,PHG,PHG,0,PHG,ENK,PHG,PHG,leaver
10/24/14,ux,dt2,fx,PHG,PHG,F,F,FF,same,dt,2,Stable,fx,ux,0,ux,fx,fx_ux,4500,split apart,0,0.823966846,PHG,PHG,0,PHG,ENK,PHG,PHG,leaver
10/25/14,ob,dc1,uj,PHG,PHG,F,F,FF,same,dc,1,Stable,ob,uj,1,ob,uj,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
10/25/14,ob,dt1,uj,PHG,PHG,F,F,FF,same,dt,1,Stable,ob,uj,0,ob,uj,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
10/25/14,ob,dt1,uj,PHG,PHG,F,F,FF,same,dt,1,Stable,ob,uj,0,ob,uj,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
10/28/14,ux,dc2,ob,PHG,PHG,F,F,FF,same,dc,2,Stable,ob,ux,1,ux,ob,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
11/3/14,tr,dn1,un,PHG,PHG,F,F,FF,same,dn,1,Stable,tr,un,0,tr,un,tr_un,4470,split apart,0,0.582653905,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
11/3/14,tr,dn1,un,PHG,PHG,F,F,FF,same,dn,1,Stable,tr,un,0,tr,un,tr_un,4470,split apart,0,0.582653905,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
11/3/14,tr,dp1,un,PHG,PHG,F,F,FF,same,dp,1,Stable,tr,un,0,tr,un,tr_un,4470,split apart,0,0.582653905,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
11/7/14,ob,dn1,oy,PHG,PHG,F,F,FF,same,dn,1,Stable,ob,oy,0,ob,oy,ob_oy,4290,split apart,0.25,0.405578306,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
