Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,rval,kincat2,start1,destination1,start2,destination2,avg.rank1,avg.rank2,RankDiff,dob1,dob2,agediff,outcome.long,outcome.short
fd_fx,4455,Stable,fd,fx,0.0000,f,PHG,f,PHG,ff,same,0.0000,0.5,Mother-offspring,PHG,PHG,PHG,PHG,0.895,0.824,0.071,11/28/99,11/24/05,5.990417522,stayed together,stayed
fd_o6,1755,Stable,fd,o6,0.1000,f,PHG,f,PHG,ff,same,5.6980056980057e-05,0,Non-kin,PHG,PHG,PHG,YNT,0.895,0.144,0.750,11/28/99,11/21/09,9.98220397,split apart,split
fd_oa,4365,Stable,fd,oa,12.6167,f,PHG,f,PHG,ff,same,0.0029,0,Non-kin,PHG,PHG,PHG,YNT,0.895,0.669,0.225,11/28/99,9/14/01,1.796030116,split apart,split
fd_ob,4365,Stable,fd,ob,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.895,0.436,0.459,11/28/99,7/11/08,8.618754278,split apart,split
fd_oo,4395,Stable,fd,oo,4.3333,f,PHG,f,PHG,ff,same,0.0010,0,Non-kin,PHG,PHG,PHG,YNT,0.895,0.648,0.246,11/28/99,4/8/07,7.359342916,split apart,split
fd_oy,4335,Stable,fd,oy,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.030,0.864,11/28/99,4/6/07,7.353867214,stayed together,stayed
fd_qc,2175,Stable,fd,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.636,0.259,11/28/99,4/6/10,10.35455168,never together,never
fd_qn,4350,Stable,fd,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.559,0.336,11/28/99,5/24/07,7.485284052,never together,never
fd_qp,4275,Stable,fd,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.395,0.500,11/28/99,1/23/06,6.154688569,never together,never
fd_tr,4470,Stable,fd,tr,1.4500,f,PHG,f,PHG,ff,same,0.0003,0,Non-kin,PHG,PHG,PHG,YNT,0.895,0.684,0.211,11/28/99,NA,NA,split apart,split
fd_ty,4335,Stable,fd,ty,0.0333,f,PHG,f,PHG,ff,same,7.68935024990388e-06,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.399,0.496,11/28/99,8/6/09,9.689253936,stayed together,stayed
fd_ua,4365,Stable,fd,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,1.000,0.105,11/28/99,3/19/05,5.305954825,never together,never
fd_ug,4425,Stable,fd,ug,7.5167,f,PHG,f,PHG,ff,same,0.0017,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.197,0.697,11/28/99,10/27/08,8.914442163,stayed together,stayed
fd_uj,3045,Stable,fd,uj,5.1500,f,PHG,f,PHG,ff,same,0.0017,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.254,0.640,11/28/99,4/19/10,10.39014374,stayed together,stayed
fd_uk,4215,Stable,fd,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.067,0.828,11/28/99,2/26/09,9.248459959,never together,never
