Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
bt_oo,1230,Fission,bt,oo,7.150,m,PHG,f,YNT,fm,different,0.0058,0.669,0.648,0.021,PHG,PHG,PHG,YNT,split apart,,
bt_oo,1455,Dispersal 2,bt,oo,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.648,0.021,PHG,PHG,PHG,YNT,split apart,,
bt_oo,1725,Dispersal 1,bt,oo,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.648,0.021,PHG,PHG,PHG,YNT,split apart,,
bt_oo,3495,Stable,bt,oo,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.648,0.021,PHG,PHG,PHG,YNT,split apart,,
bt_oy,1230,Fission,bt,oy,4.267,m,PHG,f,PHG,fm,same,0.0035,0.669,0.030,0.639,PHG,PHG,PHG,PHG,stayed together,,
bt_oy,1530,Dispersal 2,bt,oy,8.917,m,PHG,f,PHG,fm,same,0.0058,0.669,0.030,0.639,PHG,PHG,PHG,PHG,stayed together,,
bt_oy,1785,Dispersal 1,bt,oy,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.030,0.639,PHG,PHG,PHG,PHG,stayed together,,
bt_oy,3435,Stable,bt,oy,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.030,0.639,PHG,PHG,PHG,PHG,stayed together,,
bt_qc,1245,Fission,bt,qc,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.636,0.033,PHG,PHG,ENK,ENK,never together,,
bt_qc,1515,Dispersal 2,bt,qc,0.500,m,PHG,f,ENK,fm,different,0.0003,0.669,0.636,0.033,PHG,PHG,ENK,ENK,never together,,
bt_qc,1665,Dispersal 1,bt,qc,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.636,0.033,PHG,PHG,ENK,ENK,never together,,
bt_qc,1740,Stable,bt,qc,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.636,0.033,PHG,PHG,ENK,ENK,never together,,
bt_qn,1230,Fission,bt,qn,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.559,0.110,PHG,PHG,ENK,ENK,never together,,
bt_qn,1485,Dispersal 2,bt,qn,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.559,0.110,PHG,PHG,ENK,ENK,never together,,
bt_qn,1635,Dispersal 1,bt,qn,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.559,0.110,PHG,PHG,ENK,ENK,never together,,
bt_qn,3450,Stable,bt,qn,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.559,0.110,PHG,PHG,ENK,ENK,never together,,
bt_qp,1215,Fission,bt,qp,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.395,0.274,PHG,PHG,ENK,ENK,never together,,
bt_qp,1530,Dispersal 2,bt,qp,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.395,0.274,PHG,PHG,ENK,ENK,never together,,
bt_qp,1665,Dispersal 1,bt,qp,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.395,0.274,PHG,PHG,ENK,ENK,never together,,
bt_qp,3375,Stable,bt,qp,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.395,0.274,PHG,PHG,ENK,ENK,never together,,
bt_qz,945,Dispersal 2,bt,qz,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.711,0.042,PHG,PHG,ENK,ENK,never together,,
